Index,Carrizo,Cholame
0,2,2
1,3,3
2,4,4
3,5,5
4,6,6
5,7,7
6,8,0
7,9,1
8,10,2
9,11,3
10,0,4
11,1,5
12,2,6
13,3,7
14,4,8
15,5,0
16,6,1
17,7,2
18,8,3
19,9,4
20,10,5
21,11,6
22,12,7
23,13,8
24,14,9
25,15,10
26,16,11
27,17,0
28,18,1
29,19,2
30,0,0
31,1,1
32,2,2
33,3,3
34,4,4
35,5,5
36,6,6
37,7,7
38,8,8
39,9,9
40,10,10
41,11,11
42,12,12
43,13,13
44,0,0
45,1,1
46,2,2
47,3,3
48,4,4
49,5,5
50,6,6
51,7,7
52,8,8
53,9,9
54,10,10
55,11,11
56,12,12
57,13,13
58,14,14
59,15,15
60,0,16
61,1,17
62,2,18
63,3,19
64,4,20
65,5,21
66,6,22
67,7,23
68,8,24
69,0,0
70,1,1
71,2,2
72,3,3
73,4,4
74,5,5
75,6,6
76,7,7
77,8,8
78,9,9
79,10,10
80,11,11
81,12,12
82,13,13
83,0,14
84,1,15
85,2,16
86,3,0
87,4,1
88,5,2
89,6,3
90,7,4
91,8,5
92,9,6
93,10,7
94,11,8
95,12,9
96,13,10
97,0,0
98,1,1
99,2,2
100,3,3
101,4,4
102,5,5
103,6,6
104,7,7
105,8,8
106,9,0
107,10,1
108,11,2
109,12,3
110,13,4
111,14,5
112,15,6
113,16,7
114,0,8
115,1,9
116,2,10
117,3,11
118,4,12
119,5,13
120,6,14
121,7,15
122,8,16
123,9,0
124,10,1
125,11,2
126,12,3
127,13,4
128,14,5
129,15,6
130,0,7
131,1,8
132,2,9
133,3,10
134,4,11
135,5,12
136,6,13
137,7,14
138,8,15
139,9,16
140,10,17
141,11,18
142,12,19
143,0,0
144,1,1
145,2,2
146,3,3
147,4,4
148,5,5
149,6,6
150,7,7
151,8,8
152,9,9
153,10,10
154,11,11
155,12,12
156,13,13
157,14,14
158,15,15
159,16,16
160,0,0
161,1,1
162,2,2
163,3,3
164,4,4
165,5,5
166,6,6
167,7,7
168,8,8
169,9,9
170,10,10
171,11,11
172,12,12
173,13,13
174,14,14
175,15,15
176,16,16
177,17,17
178,0,0
179,1,1
180,2,2
181,3,3
182,4,4
183,5,5
184,6,6
185,7,7
186,8,8
187,9,9
188,10,10
189,11,11
190,12,12
191,13,13
192,14,14
193,15,15
194,16,16
195,0,0
196,1,1
197,2,2
198,3,3
199,4,4
200,5,5
201,6,6
202,7,7
203,8,8
204,9,9
205,10,10
206,11,11
207,12,12
208,13,13
209,14,14
210,15,15
211,16,16
212,17,17
213,0,0
214,1,1
215,2,2
216,3,3
217,4,4
218,5,5
219,6,6
220,7,7
221,8,8
222,9,9
223,10,10
224,11,11
225,12,12
226,13,13
227,14,14
228,15,15
229,16,16
230,17,17
231,0,0
232,1,1
233,2,2
234,3,3
235,4,4
236,5,5
237,6,6
238,7,7
239,8,8
240,9,9
241,10,10
242,11,11
243,12,12
244,13,13
245,14,14
246,15,15
247,16,16
248,0,0
249,1,1
250,2,2
251,3,3
252,4,4
